numActors,numObservers,numNorms,flatness,lifetime,sanctionRate,probIgnorance,propMissing,sensorReliability,masterSeed,ff,fp,fo,pf,pp,po,of,op,oo,sizeFocalSet
100,1,5,3.0,25,1.0,0.1,0.1,0.99,8883246092733080846,2,0,0,0,1,0,0,0,2,4
100,1,5,3.0,50,1.0,0.1,0.1,0.99,8883246092733080846,2,0,0,0,1,0,0,0,2,4
100,1,5,3.0,100,1.0,0.1,0.1,0.99,8883246092733080846,2,0,0,0,1,0,0,0,2,9
100,1,5,3.0,200,1.0,0.1,0.1,0.99,8883246092733080846,2,0,0,0,1,0,0,0,2,11
100,1,10,3.0,25,1.0,0.1,0.1,0.99,8883246092733080846,4,0,0,0,2,0,0,0,4,7
100,1,10,3.0,50,1.0,0.1,0.1,0.99,8883246092733080846,4,0,0,0,2,0,0,0,4,7
100,1,10,3.0,100,1.0,0.1,0.1,0.99,8883246092733080846,4,0,0,0,2,0,0,0,4,15
100,1,10,3.0,200,1.0,0.1,0.1,0.99,8883246092733080846,4,0,0,1,1,0,0,0,4,13
100,1,12,3.0,25,1.0,0.1,0.1,0.99,8883246092733080846,4,0,0,1,1,0,0,0,6,8
100,1,12,3.0,50,1.0,0.1,0.1,0.99,8883246092733080846,4,0,0,2,0,0,0,0,6,8
100,1,12,3.0,100,1.0,0.1,0.1,0.99,8883246092733080846,4,0,0,0,2,0,0,0,6,15
100,1,12,3.0,200,1.0,0.1,0.1,0.99,8883246092733080846,4,0,0,0,2,0,0,0,6,14
100,1,3,3.0,25,1.0,0.1,0.1,0.99,9049595083067631241,1,0,0,0,1,0,0,0,1,4
100,1,3,3.0,50,1.0,0.1,0.1,0.99,9049595083067631241,1,0,0,0,1,0,0,0,1,3
100,1,3,3.0,100,1.0,0.1,0.1,0.99,9049595083067631241,1,0,0,0,1,0,0,0,1,5
100,1,3,3.0,200,1.0,0.1,0.1,0.99,9049595083067631241,1,0,0,0,1,0,0,0,1,7
